Return,返回
Audio,音频
Graphics,图像
Other,其它
Options,选项
Show,显示
Language,语言
Crusader,十字军
Bounty Hunter,赏金猎人
Vestal,修女
Plague Doctor,瘟疫医生
Grave Robber,盗墓贼
Occultist,神秘学者
Highwayman,强盗
Hellion,恶人
Jester,小丑
Leper,麻风
Arbalest,弩手
Man-at-Arms,老兵
Houndmaster,驯犬师
Abomination,咒缚者
Antiquarian,古董商人
Musketeer,火枪手
Repast,就餐
Starve,挨饿
eat,进食
Stunned,昏迷
Hunger,饥饿
Resist,抗性
Stun,击晕
Blight,腐蚀
Bleed,流血
Cured,诅咒
Death's Door,濒死
Cure Failed,治疗失败
Cured,治愈
Pass,跳过
Marked,标记
DEATH BLOW,致死
DEATHBLOW,致死
Buff,增益
Debuff,减益
to Hit,命中率
to Crit,暴击率
Riposte,反击
Guard,防御
Failed,失败
Heart Attack,心衰
Scouting,侦查
Rubble,碎石
Shipwreck,沉船
TRAP,陷阱
Disarmed,已解除
Ambush,伏击
shovel,铁铲
Victory,胜利
Treasure,宝藏
RADIANT LIGHT,炫目
BRIGHT LIGHT,明亮
DIM LIGHT,微弱
SHADOWY,阴暗
DARKNESS,黑暗
Affliction,折磨
Antivenom,解毒剂
Armor,护甲
Bandage,绷带
Camping Skill,扎营技能
Combat Skill,战斗技能
Corpse,尸体
Crest,纹章
Resistance,抗性
Equipment,装备
Heirloom,祖产
Holy Water,圣水
Move Resistance,位移抗性
Portrait,画像
Provision,补给
Quirk,特质
Resolve Level,决心等级
Resolve,决心
Stress,压力
Torch,火炬
Virtue,美德
Weapon,武器
Curio,奇物
Cove,海湾
Ruins,遗迹
Darkest Dungeon,极暗地牢
Warrens,兽窟
Weald,荒野
Estate,庄园
Stage Coach,驿站
Tavern,酒馆
Blacksmith,铁匠铺
Guild,公会
Abbey,教堂
Survivalist,生存大师
Graveyard,墓园
Nomad Wagon,货车
Sanitarium,疗养院
Activity Log,活动日志
Trinket Inventory,饰品栏
Trinket,饰品
Trinkets,饰品
Hamlet,小镇
Maggot,蛆虫
Cultist,邪教
Ascended,飞升
Witch,女巫
Cutthroat,割喉者
Fusilier,火枪手
Brigand,土匪
Bloodletter,放血者
Outlaw,亡命
Infamous,恶名
Webber,结网蛛
Spitter,喷毒蛛
Ghoul,食尸鬼
Shambler,跛行者
Madman,疯子
Bone,骸骨
Slay the boss,杀死首领
